sample,slide
100570-2_01262023_001,100570-2_01262023
100570-2_01262023_002,100570-2_01262023
100570-2_01262023_003,100570-2_01262023
1007650-2_02042022_001,1007650-2_02042022
1007966-2_02052022_001,1007966-2_02052022
1007966-2_02052022_002,1007966-2_02052022
100833-2_02072023_001,100833-2_02072023
100833-2_02072023_002,100833-2_02072023
100833-2_02072023_003,100833-2_02072023
100833-2_02072023_004,100833-2_02072023
100982-2_02052022_001,100982-2_02052022
100982-2_02052022_003,100982-2_02052022
102107-2_02022023_001,102107-2_02022023
102107-2_02022023_002,102107-2_02022023
102107-2_02022023_003,102107-2_02022023
102107-2_02022023_004,102107-2_02022023
1055282-2_02042022_001,1055282-2_02042022
1055282-2_02042022_002,1055282-2_02042022
1055282-2_02042022_003,1055282-2_02042022
1055282-2_02042022_004,1055282-2_02042022
610788-2_02032023_001,610788-2_02032023
610788-2_02032023_002,610788-2_02032023
610788-2_02032023_003,610788-2_02032023
610788-2_02032023_004,610788-2_02032023
610979-2_01272022_001,610979-2_01272022
611487-2_01282022_001,611487-2_01282022
611487-2_01282022_002,611487-2_01282022
655145-2_01282022_001,655145-2_01282022
657061-2_04042022_001,657061-2_04042022
657061-2_04042022_002,657061-2_04042022
657061-2_04042022_003,657061-2_04042022
657061-2_04042022_004,657061-2_04042022
658332-2_02022023_001,658332-2_02022023
658332-2_02022023_002,658332-2_02022023
658332-2_02022023_003,658332-2_02022023
658332-2_02022023_004,658332-2_02022023
658332-2_02022023_005,658332-2_02022023
66047-2_01232023_001,66047-2_01232023
66047-2_01232023_002,66047-2_01232023
66047-2_01232023_003,66047-2_01232023
66047-2_01232023_004,66047-2_01232023
66047-2_01232023_005,66047-2_01232023
66047-2_01232023_006,66047-2_01232023
66047-2_01232023_007,66047-2_01232023
66047-2_01232023_008,66047-2_01232023
66047-2_01232023_009,66047-2_01232023
66047-2_01232023_010,66047-2_01232023
66110-2_01272022_001,66110-2_01272022
67134-2_04042022_001,67134-2_04042022
67134-2_04042022_002,67134-2_04042022
67134-2_04042022_003,67134-2_04042022
67879-2_03292022_001,67879-2_03292022
67879-2_03292022_002,67879-2_03292022
67879-2_03292022_003,67879-2_03292022
68036-2_01242023_001,68036-2_01242023
68036-2_01242023_002,68036-2_01242023
68353-4_03042022_001,68353-4_03042022
68353-4_03042022_002,68353-4_03042022
68557-2_02042023_001,68557-2_02042023
68557-2_02042023_002,68557-2_02042023
68557-2_02042023_003,68557-2_02042023
68953-2_02062023_001,68953-2_02062023
68953-2_02062023_002,68953-2_02062023
68953-2_02062023_003,68953-2_02062023
69036-2_04052022_001,69036-2_04052022
69036-2_04052022_002,69036-2_04052022
69036-2_04052022_003,69036-2_04052022
7053-2_03302022_001,7053-2_03302022
7053-2_03302022_002,7053-2_03302022
7053-2_03302022_003,7053-2_03302022
706301-2_04012022_001,706301-2_04012022
706301-2_04012022_002,706301-2_04012022
706301-2_04012022_003,706301-2_04012022
707603-2_02012023_001,707603-2_02012023
707603-2_02012023_002,707603-2_02012023
707603-2_02012023_003,707603-2_02012023
707791-2_03302022_001,707791-2_03302022
707791-2_03302022_002,707791-2_03302022
707791-2_03302022_003,707791-2_03302022
707822-2_02252022_001,707822-2_02252022
707822-2_02252022_002,707822-2_02252022
707822-2_02252022_003,707822-2_02252022
708270-2_02072023_001,708270-2_02072023
708270-2_02072023_002,708270-2_02072023
708270-2_02072023_003,708270-2_02072023
708270-2_02072023_004,708270-2_02072023
708388-2_01282022_001,708388-2_01282022
708460-2_03312022_001,708460-2_03312022
708460-2_03312022_002,708460-2_03312022
708460-2_03312022_003,708460-2_03312022
70919-2_02252022_001,70919-2_02252022
70919-2_02252022_003,70919-2_02252022
70919-2_02252022_004,70919-2_02252022
71375-2_03302022_001,71375-2_03302022
71375-2_03302022_002,71375-2_03302022
71839-2_02102022_001,71839-2_02102022
71839-2_02102022_002,71839-2_02102022
71839-2_02102022_003,71839-2_02102022
7348-2_04052022_001,7348-2_04052022
7348-2_04052022_002,7348-2_04052022
7348-2_04052022_003,7348-2_04052022
74127-2_01262023_001,74127-2_01262023
74127-2_01262023_002,74127-2_01262023
74127-2_01262023_003,74127-2_01262023
74127-2_01262023_004,74127-2_01262023
757098-2_02032023_001,757098-2_02032023
757098-2_02032023_002,757098-2_02032023
757098-2_02032023_003,757098-2_02032023
757098-2_02032023_004,757098-2_02032023
757804-2_02042023_001,757804-2_02042023
757804-2_02042023_002,757804-2_02042023
757804-2_02042023_003,757804-2_02042023
758881-2_04052022_001,758881-2_04052022
758881-2_04052022_002,758881-2_04052022
758881-2_04052022_003,758881-2_04052022
759118-2_01252023_001,759118-2_01252023
759118-2_01252023_002,759118-2_01252023
759118-2_01252023_003,759118-2_01252023
759118-2_01252023_004,759118-2_01252023
759310-2_03312022_001,759310-2_03312022
759310-2_03312022_002,759310-2_03312022
759310-2_03312022_003,759310-2_03312022
759398-2_01262023_001,759398-2_01262023
759398-2_01262023_002,759398-2_01262023
759398-2_01262023_003,759398-2_01262023
759398-2_01262023_004,759398-2_01262023
75983-4_03042022_001,75983-4_03042022
78672-2_03302022_001,78672-2_03302022
78672-2_03302022_002,78672-2_03302022
78762-2_03302022_001,78762-2_03302022
78762-2_03302022_002,78762-2_03302022
7915-2_02072023_001,7915-2_02072023
7915-2_02072023_002,7915-2_02072023
7915-2_02072023_003,7915-2_02072023
7915-2_02072023_004,7915-2_02072023
805665-2_01252023_001,805665-2_01252023
805665-2_01252023_002,805665-2_01252023
805665-2_01252023_003,805665-2_01252023
808484-2_03292022_001,808484-2_03292022
808484-2_03292022_002,808484-2_03292022
808757-2_02062023_001,808757-2_02062023
808757-2_02062023_002,808757-2_02062023
808757-2_02062023_003,808757-2_02062023
808757-2_02062023_004,808757-2_02062023
809631-2_04012022_001,809631-2_04012022
809631-2_04012022_002,809631-2_04012022
809631-2_04012022_003,809631-2_04012022
810346-2_04052022_001,810346-2_04052022
810346-2_04052022_002,810346-2_04052022
810346-2_04052022_003,810346-2_04052022
810346-2_04052022_004,810346-2_04052022
84333-2_03312022_001,84333-2_03312022
84333-2_03312022_002,84333-2_03312022
84333-2_03312022_003,84333-2_03312022
85553-2_04012022_001,85553-2_04012022
85553-2_04012022_002,85553-2_04012022
85553-2_04012022_003,85553-2_04012022
856766-2_04052022_001,856766-2_04052022
856766-2_04052022_002,856766-2_04052022
856766-2_04052022_003,856766-2_04052022
857442-2_03292022_001,857442-2_03292022
857442-2_03292022_002,857442-2_03292022
857442-2_03292022_003,857442-2_03292022
857442-2_03292022_004,857442-2_03292022
857605-2_01242023_001,857605-2_01242023
857605-2_01242023_002,857605-2_01242023
857605-2_01242023_003,857605-2_01242023
85963-2_04042022_001,85963-2_04042022
85963-2_04042022_002,85963-2_04042022
85963-2_04042022_003,85963-2_04042022
859990-2_03292022_001,859990-2_03292022
859990-2_03292022_002,859990-2_03292022
859990-2_03292022_003,859990-2_03292022
86154-2_02042022_001,86154-2_02042022
86154-2_02042022_002,86154-2_02042022
86154-2_02042022_003,86154-2_02042022
88113-2_02012023_001,88113-2_02012023
88113-2_02012023_002,88113-2_02012023
88113-2_02012023_003,88113-2_02012023
88113-2_02012023_004,88113-2_02012023
88574-2_01252023_001,88574-2_01252023
88574-2_01252023_002,88574-2_01252023
88574-2_01252023_003,88574-2_01252023
88974-2_03042022_001,88974-2_03042022
88974-2_03042022_002,88974-2_03042022
89841-2_04042022_001,89841-2_04042022
89841-2_04042022_002,89841-2_04042022
89841-2_04042022_003,89841-2_04042022
89841-2_04042022_004,89841-2_04042022
906203-2_01282022_002,906203-2_01282022
9069-2_02272022_001,9069-2_02272022
907115-2_03052022_001,907115-2_03052022
907115-2_03052022_002,907115-2_03052022
91657-2_04042022_001,91657-2_04042022
91657-2_04042022_002,91657-2_04042022
91657-2_04042022_003,91657-2_04042022
91657-2_04042022_004,91657-2_04042022
93156-2_03302022_001,93156-2_03302022
93156-2_03302022_002,93156-2_03302022
93156-2_03302022_003,93156-2_03302022
93554-2_03292022_001,93554-2_03292022
93569-2_03052022_001,93569-2_03052022
93569-2_03052022_002,93569-2_03052022
93569-2_03052022_003,93569-2_03052022
94800-2_02252022_001,94800-2_02252022
94800-2_02252022_002,94800-2_02252022
95790-2_02022023_001,95790-2_02022023
95790-2_02022023_002,95790-2_02022023
95790-2_02022023_003,95790-2_02022023
95790-2_02022023_004,95790-2_02022023
961353-2_04042022_001,961353-2_04042022
961353-2_04042022_002,961353-2_04042022
961353-2_04042022_003,961353-2_04042022
961650-2_04012022_001,961650-2_04012022
961650-2_04012022_002,961650-2_04012022
961650-2_04012022_003,961650-2_04012022
97193-2_01262023_001,97193-2_01262023
97193-2_01262023_002,97193-2_01262023
97193-2_01262023_003,97193-2_01262023
97193-2_01262023_004,97193-2_01262023
97588-2_04052022_001,97588-2_04052022
97588-2_04052022_002,97588-2_04052022
97588-2_04052022_003,97588-2_04052022
97711-2_04012022_001,97711-2_04012022
97711-2_04012022_002,97711-2_04012022
97711-2_04012022_003,97711-2_04012022
Cirrhosis-TMA-5_01062022_001,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_002,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_003,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_004,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_005,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_006,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_007,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_008,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_01062022_009,Cirrhosis-TMA-5_01062022
Cirrhosis-TMA-5_New_Detector_001,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_002,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_003,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_004,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_005,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_006,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_007,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_008,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_009,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_011,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_012,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_013,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_014,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_015,Cirrhosis-TMA-5_New_Detector
Cirrhosis-TMA-5_New_Detector_016,Cirrhosis-TMA-5_New_Detector
Cirrhosis_TMA_5_01262022_001,Cirrhosis_TMA_5_01262022
Cirrhosis_TMA_5_01262022_002,Cirrhosis_TMA_5_01262022
Cirrhosis_TMA_5_01262022_003,Cirrhosis_TMA_5_01262022
Cirrhosis_TMA_5_01262022_004,Cirrhosis_TMA_5_01262022
Cirrhosis_TMA_5_01262022_005,Cirrhosis_TMA_5_01262022
NASH_HCC_TMA-2_001,NASH_HCC_TMA-2
NASH_HCC_TMA-2_002,NASH_HCC_TMA-2
NASH_HCC_TMA-2_003,NASH_HCC_TMA-2
NASH_HCC_TMA-2_004,NASH_HCC_TMA-2
NASH_HCC_TMA-2_005,NASH_HCC_TMA-2
NASH_HCC_TMA-2_006,NASH_HCC_TMA-2
NASH_HCC_TMA-2_007,NASH_HCC_TMA-2
NASH_HCC_TMA-2_008,NASH_HCC_TMA-2
NASH_HCC_TMA-2_009,NASH_HCC_TMA-2
NASH_HCC_TMA-2_010,NASH_HCC_TMA-2
NASH_HCC_TMA-2_011,NASH_HCC_TMA-2
NASH_HCC_TMA-2_012,NASH_HCC_TMA-2
NASH_HCC_TMA-2_013,NASH_HCC_TMA-2
NASH_HCC_TMA-2_014,NASH_HCC_TMA-2
NASH_HCC_TMA-2_015,NASH_HCC_TMA-2
NASH_HCC_TMA-2_016,NASH_HCC_TMA-2
NASH_HCC_TMA-2_017,NASH_HCC_TMA-2
NASH_HCC_TMA-2_018,NASH_HCC_TMA-2
NASH_HCC_TMA-2_019,NASH_HCC_TMA-2
NASH_HCC_TMA-2_020,NASH_HCC_TMA-2
NASH_HCC_TMA-2_021,NASH_HCC_TMA-2
NASH_HCC_TMA-2_022,NASH_HCC_TMA-2
NASH_HCC_TMA-2_023,NASH_HCC_TMA-2
NASH_HCC_TMA-2_024,NASH_HCC_TMA-2
NASH_HCC_TMA-2_025,NASH_HCC_TMA-2
NASH_HCC_TMA-2_026,NASH_HCC_TMA-2
NASH_HCC_TMA-2_027,NASH_HCC_TMA-2
NASH_HCC_TMA-2_028,NASH_HCC_TMA-2
NASH_HCC_TMA-2_029,NASH_HCC_TMA-2
NASH_HCC_TMA-2_030,NASH_HCC_TMA-2
NASH_HCC_TMA-2_031,NASH_HCC_TMA-2
NASH_HCC_TMA-2_032,NASH_HCC_TMA-2
NASH_HCC_TMA-2_033,NASH_HCC_TMA-2
NASH_HCC_TMA-2_034,NASH_HCC_TMA-2
NASH_HCC_TMA-2_035,NASH_HCC_TMA-2
NASH_HCC_TMA-2_036,NASH_HCC_TMA-2
NASH_HCC_TMA-2_037,NASH_HCC_TMA-2
NASH_HCC_TMA-2_038,NASH_HCC_TMA-2
NASH_HCC_TMA-2_040,NASH_HCC_TMA-2
NASH_HCC_TMA-2_041,NASH_HCC_TMA-2
NASH_HCC_TMA-2_042,NASH_HCC_TMA-2
NASH_HCC_TMA-2_043,NASH_HCC_TMA-2
NASH_HCC_TMA-2_044,NASH_HCC_TMA-2
NASH_HCC_TMA-2_045,NASH_HCC_TMA-2
659197-2_11.11.21_001,659197-2_11.11.21
659197-2_11.11.21_002,659197-2_11.11.21
659197-2_11.11.21_003,659197-2_11.11.21
659197-2_11.11.21_004,659197-2_11.11.21
659197-2_11.11.21_006,659197-2_11.11.21
659197-2_11.11.21_007,659197-2_11.11.21
659197-2_11.11.21_008,659197-2_11.11.21
